iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 3, 3, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 3, 3, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 1, 1, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 1, 1, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 3, 3, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 3, 3, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 1, 1, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 1, 1, 320])

iC:320, oC:320, input: torch.Size([2, 320, 64, 64]), filter: torch.Size([320, 3, 3, 320])

iC:320, oC:640, input: torch.Size([2, 320, 32, 32]), filter: torch.Size([640, 3, 3, 320])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 3, 3, 640])

iC:320, oC:640, input: torch.Size([2, 320, 32, 32]), filter: torch.Size([640, 1, 1, 320])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 1, 1, 640])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 1, 1, 640])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 3, 3, 640])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 3, 3, 640])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 1, 1, 640])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 1, 1, 640])

iC:640, oC:640, input: torch.Size([2, 640, 32, 32]), filter: torch.Size([640, 3, 3, 640])

iC:640, oC:1280, input: torch.Size([2, 640, 16, 16]), filter: torch.Size([1280, 3, 3, 640])

iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 3, 3, 1280])

iC:640, oC:1280, input: torch.Size([2, 640, 16, 16]), filter: torch.Size([1280, 1, 1, 640])

iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 1, 1, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 1, 1, 1280])

iC:1280, oC:1280, input: torch.Size([2, 1280, 16, 16]), filter: torch.Size([1280, 3, 3, 1280])

