880 μs; 1787μs
58 μs; 102μs
878 μs; 1775μs
58 μs; 98μs
98 μs; 162μs
43 μs; 52μs
96 μs; 162μs
43 μs; 49μs
42 μs; 49μs
40 μs; 46μs
44 μs; 46μs
41 μs; 43μs
42 μs; 43μs
40 μs; 40μs
46 μs; 47μs
40 μs; 42μs
42 μs; 46μs
39 μs; 42μs
42 μs; 45μs
39 μs; 42μs
95 μs; 161μs
43 μs; 49μs
97 μs; 162μs
43 μs; 48μs
96 μs; 158μs
43 μs; 47μs
872 μs; 1743μs
58 μs; 98μs
867 μs; 1720μs
59 μs; 98μs
871 μs; 1682μs
58 μs; 98μs
866 μs; 1740μs
70 μs; 97μs
879 μs; 1781μs
58 μs; 97μs
97 μs; 157μs
43 μs; 48μs
97 μs; 162μs
43 μs; 49μs
42 μs; 45μs
41 μs; 41μs
44 μs; 44μs
40 μs; 43μs
41 μs; 39μs
42 μs; 39μs
45 μs; 46μs
39 μs; 43μs
42 μs; 46μs
40 μs; 42μs
42 μs; 46μs
40 μs; 42μs
95 μs; 160μs
42 μs; 48μs
96 μs; 162μs
43 μs; 48μs
96 μs; 158μs
43 μs; 47μs
872 μs; 1738μs
56 μs; 97μs
870 μs; 1725μs
57 μs; 99μs
869 μs; 1719μs
57 μs; 98μs
872 μs; 1687μs
57 μs; 99μs
866 μs; 1766μs
66 μs; 99μs
96 μs; 155μs
42 μs; 46μs
96 μs; 156μs
43 μs; 47μs
42 μs; 45μs
39 μs; 42μs
42 μs; 46μs
40 μs; 51μs
41 μs; 39μs
41 μs; 39μs
43 μs; 46μs
39 μs; 42μs
43 μs; 46μs
40 μs; 42μs
43 μs; 47μs
40 μs; 42μs
96 μs; 162μs
43 μs; 49μs
97 μs; 162μs
43 μs; 48μs
97 μs; 162μs
44 μs; 49μs
875 μs; 1749μs
56 μs; 97μs
871 μs; 1726μs
57 μs; 98μs
871 μs; 1718μs
57 μs; 99μs
877 μs; 1687μs
58 μs; 101μs
882 μs; 1723μs
59 μs; 100μs
98 μs; 158μs
43 μs; 48μs
96 μs; 162μs
43 μs; 50μs
42 μs; 45μs
39 μs; 42μs
42 μs; 45μs
39 μs; 42μs
41 μs; 38μs
41 μs; 39μs
42 μs; 46μs
40 μs; 48μs
42 μs; 45μs
40 μs; 43μs
43 μs; 45μs
39 μs; 42μs
97 μs; 162μs
43 μs; 48μs
97 μs; 162μs
55 μs; 49μs
96 μs; 161μs
43 μs; 48μs
875 μs; 1711μs
57 μs; 99μs
871 μs; 1686μs
58 μs; 99μs
867 μs; 1729μs
57 μs; 98μs
