-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         0.49%      14.854ms         0.72%      21.659ms      80.219us     494.104ms        26.44%     494.104ms       1.830ms           0 b           0 b       6.05 Gb       6.05 Gb           270            --  
_ZN7cutlass6KernelINS_4conv6kernel23ImplicitGemmConv...         0.00%       0.000us         0.00%       0.000us       0.000us     362.306ms        19.39%     362.306ms     157.251us           0 b           0 b           0 b           0 b          2304            --  
void cutlass_cudnn_infer::Kernel<cutlass_tensorop_f1...         0.00%       0.000us         0.00%       0.000us       0.000us     275.493ms        14.74%     275.493ms       2.701ms           0 b           0 b           0 b           0 b           102            --  
                     aten::_efficient_attention_forward         0.54%      16.297ms         1.20%      36.236ms      46.817us     251.928ms        13.48%     252.123ms     325.740us      12.09 Kb       2.62 Kb       1.08 Gb    -363.00 Mb           774            --  
fmha_cutlassF_f16_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     223.161ms        11.94%     223.161ms     929.837us           0 b           0 b           0 b           0 b           240            --  
                                aten::native_group_norm         2.01%      60.812ms         4.47%     135.433ms      82.380us     205.882ms        11.02%     210.586ms     128.094us           0 b           0 b       7.27 Gb     -12.21 Mb          1644            --  
                                            aten::addmm         2.95%      89.415ms         4.11%     124.419ms      36.444us     156.796ms         8.39%     157.777ms      46.215us           0 b           0 b       6.53 Gb       6.53 Gb          3414      5322.361  
void at::native::(anonymous namespace)::RowwiseMomen...         0.00%       0.000us         0.00%       0.000us       0.000us     138.145ms         7.39%     138.145ms      84.030us           0 b           0 b           0 b           0 b          1644            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     100.321ms         5.37%     100.321ms     104.501us           0 b           0 b           0 b           0 b           960            --  
                                             aten::add_         0.09%       2.643ms         0.14%       4.349ms      15.422us      82.016ms         4.39%      82.016ms     290.837us           0 b           0 b           0 b           0 b           282            --  
void cudnn::ops::nchwToNhwcKernel<__half, __half, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      78.620ms         4.21%      78.620ms     189.903us           0 b           0 b           0 b           0 b           414            --  
void cutlass::Kernel<cutlass_80_tensorop_f16_s16816g...         0.00%       0.000us         0.00%       0.000us       0.000us      68.055ms         3.64%      68.055ms      55.600us           0 b           0 b           0 b           0 b          1224            --  
                                            aten::copy_         2.35%      71.041ms        32.08%     971.305ms     129.300us      66.056ms         3.54%      71.262ms       9.486us         512 b      -2.50 Kb           0 b           0 b          7512            --  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      64.728ms         3.46%      64.728ms      39.372us           0 b           0 b           0 b           0 b          1644            --  
                                             aten::silu         0.68%      20.608ms         1.05%      31.771ms      17.592us      54.652ms         2.92%      58.112ms      32.177us           0 b           0 b       6.68 Gb       6.68 Gb          1806            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      54.652ms         2.92%      54.652ms      30.261us           0 b           0 b           0 b           0 b          1806            --  
                                               aten::mm         1.68%      50.898ms         2.35%      71.212ms      30.124us      53.787ms         2.88%      56.691ms      23.981us           0 b           0 b       2.30 Gb       2.30 Gb          2364      1337.610  
void cudnn::ops::nhwcToNchwKernel<__half, __half, fl...         0.00%       0.000us         0.00%       0.000us       0.000us      53.476ms         2.86%      53.476ms     240.883us           0 b           0 b           0 b           0 b           222            --  
