-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
          tvmgen_default_fused_nn_batch_matmul_2_kernel         0.00%       0.000us         0.00%       0.000us       0.000us     174.223ms        10.82%     174.223ms       5.807ms           0 b           0 b            30  
tvmgen_default_fused_reshape_squeeze_multiply_add_ke...         0.00%       0.000us         0.00%       0.000us       0.000us      88.614ms         5.50%      88.614ms       2.954ms           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_kernel_2         0.00%       0.000us         0.00%       0.000us       0.000us      87.182ms         5.41%      87.182ms       2.906ms           0 b           0 b            30  
                 tvmgen_default_fused_nn_softmax_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      85.276ms         5.29%      85.276ms       2.843ms           0 b           0 b            30  
          tvmgen_default_fused_nn_batch_matmul_1_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      78.345ms         4.86%      78.345ms       2.611ms           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_kernel_1         0.00%       0.000us         0.00%       0.000us       0.000us      58.837ms         3.65%      58.837ms       1.961ms           0 b           0 b            30  
               tvmgen_default_fused_nn_softmax_kernel_3         0.00%       0.000us         0.00%       0.000us       0.000us      55.763ms         3.46%      55.763ms       1.859ms           0 b           0 b            30  
          tvmgen_default_fused_nn_batch_matmul_4_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      42.319ms         2.63%      42.319ms       1.411ms           0 b           0 b            30  
            tvmgen_default_fused_nn_conv2d_add_6_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      39.782ms         2.47%      39.782ms       1.326ms           0 b           0 b            30  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us      35.788ms         2.22%      35.788ms       1.988ms           0 b           0 b            18  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us      31.535ms         1.96%      31.535ms       2.628ms           0 b           0 b            12  
         tvmgen_default_fused_nn_batch_matmul_16_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      31.220ms         1.94%      31.220ms     173.444us           0 b           0 b           180  
            tvmgen_default_fused_nn_conv2d_add_3_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      24.370ms         1.51%      24.370ms       1.015ms           0 b           0 b            24  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us      24.150ms         1.50%      24.150ms       1.006ms           0 b           0 b            24  
        tvmgen_default_fused_nn_conv2d_add_add_8_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      24.129ms         1.50%      24.129ms       1.005ms           0 b           0 b            24  
tvmgen_default_fused_nn_conv2d_add_expand_dims_expan...         0.00%       0.000us         0.00%       0.000us       0.000us      23.988ms         1.49%      23.988ms       1.999ms           0 b           0 b            12  
          tvmgen_default_fused_nn_batch_matmul_6_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      23.125ms         1.44%      23.125ms     770.833us           0 b           0 b            30  
         tvmgen_default_fused_nn_batch_matmul_19_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      23.008ms         1.43%      23.008ms     319.556us           0 b           0 b            72  
