-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total MFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                aten::cudnn_convolution         5.42%      26.058ms         8.54%      41.051ms      69.815us     146.115ms        32.45%     146.115ms     248.495us           0 b           0 b       1.40 Gb       1.40 Gb           588            --  
                     aten::_efficient_attention_forward         0.81%       3.884ms         1.83%       8.806ms      45.865us     140.554ms        31.21%     140.554ms     732.052us       3.00 Kb         632 b     543.12 Mb           0 b           192            --  
fmha_cutlassF_f32_aligned_64x64_rf_sm80(PyTorchMemEf...         0.00%       0.000us         0.00%       0.000us       0.000us     126.803ms        28.16%     126.803ms       2.113ms           0 b           0 b           0 b           0 b            60            --  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     101.989ms        22.65%     101.989ms     146.536us           0 b           0 b           0 b           0 b           696            --  
                                            aten::addmm         3.47%      16.697ms         5.02%      24.098ms      45.640us      86.491ms        19.21%      86.491ms     163.809us           0 b           0 b       2.86 Gb       2.86 Gb           528   1074914.918  
void cudnn::ops::nchwToNhwcKernel<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us      49.185ms        10.92%      49.185ms      81.975us           0 b           0 b           0 b           0 b           600            --  
                                               aten::mm         2.79%      13.389ms         4.27%      20.539ms      35.290us      31.325ms         6.96%      31.325ms      53.823us           0 b           0 b       1.09 Gb       1.09 Gb           582    324736.451  
void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1...         0.00%       0.000us         0.00%       0.000us       0.000us      26.133ms         5.80%      26.133ms     544.438us           0 b           0 b           0 b           0 b            48            --  
sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      21.587ms         4.79%      21.587ms     299.819us           0 b           0 b           0 b           0 b            72            --  
sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us      14.918ms         3.31%      14.918ms     177.595us           0 b           0 b           0 b           0 b            84            --  
fmha_cutlassF_f32_aligned_64x128_rf_sm80(PyTorchMemE...         0.00%       0.000us         0.00%       0.000us       0.000us      11.071ms         2.46%      11.071ms     184.517us           0 b           0 b           0 b           0 b            60            --  
sm80_xmma_fprop_implicit_gemm_tf32f32_tf32f32_f32_nh...         0.00%       0.000us         0.00%       0.000us       0.000us      10.807ms         2.40%      10.807ms     257.310us           0 b           0 b           0 b           0 b            42            --  
                                aten::native_group_norm         3.60%      17.315ms         7.15%      34.377ms      93.926us      10.734ms         2.38%      10.734ms      29.328us           0 b           0 b       1.02 Gb      -2.92 Mb           366            --  
sm86_xmma_fprop_implicit_gemm_indexed_tf32f32_tf32f3...         0.00%       0.000us         0.00%       0.000us       0.000us       9.164ms         2.04%       9.164ms     218.190us           0 b           0 b           0 b           0 b            42            --  
                                ampere_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       7.757ms         1.72%       7.757ms     258.567us           0 b           0 b           0 b           0 b            30            --  
                                              aten::add         1.97%       9.473ms         2.88%      13.851ms      21.179us       7.334ms         1.63%       7.334ms      11.214us           0 b           0 b       1.59 Gb       1.59 Gb           654       421.726  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       7.160ms         1.59%       7.160ms       8.775us           0 b           0 b           0 b           0 b           816            --  
void at::native::(anonymous namespace)::RowwiseMomen...         0.00%       0.000us         0.00%       0.000us       0.000us       6.757ms         1.50%       6.757ms      18.462us           0 b           0 b           0 b           0 b           366            --  
                                              aten::mul         0.35%       1.659ms         0.49%       2.372ms      20.807us       5.927ms         1.32%       5.927ms      51.991us           0 b           0 b       1.03 Gb       1.03 Gb           114       277.219  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       5.915ms         1.31%       5.915ms      57.990us           0 b           0 b           0 b           0 b           102            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       4.628ms         1.03%       4.628ms      10.864us           0 b           0 b           0 b           0 b           426            --  
                                             aten::add_         1.18%       5.672ms         1.99%       9.582ms      16.296us       4.454ms         0.99%       4.454ms       7.575us           0 b           0 b           0 b           0 b           588            --  
                        ampere_sgemm_64x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us       4.125ms         0.92%       4.125ms      19.643us           0 b           0 b           0 b           0 b           210            --  
                                aten::native_layer_norm         1.74%       8.341ms         4.08%      19.583ms      67.997us       3.927ms         0.87%       5.596ms      19.431us           0 b           0 b     807.05 Mb    -307.69 Mb           288            --  
void at::native::(anonymous namespace)::vectorized_l...         0.00%       0.000us         0.00%       0.000us       0.000us       3.927ms         0.87%       3.927ms      13.635us           0 b           0 b           0 b           0 b           288            --  
                                             aten::gelu         0.39%       1.861ms         0.56%       2.669ms      27.802us       3.851ms         0.86%       3.851ms      40.115us           0 b           0 b       1.03 Gb       1.03 Gb            96            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.851ms         0.86%       3.851ms      40.115us           0 b           0 b           0 b           0 b            96            --  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_6...         0.00%       0.000us         0.00%       0.000us       0.000us       3.806ms         0.85%       3.806ms      37.314us           0 b           0 b           0 b           0 b           102            --  
                                            aten::copy_         0.44%       2.117ms         0.89%       4.287ms      20.414us       3.372ms         0.75%       3.372ms      16.057us           0 b           0 b           0 b           0 b           210            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.354ms         0.74%       3.354ms      17.469us           0 b           0 b           0 b           0 b           192            --  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.237ms         0.72%       3.237ms       8.844us           0 b           0 b           0 b           0 b           366            --  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us       3.207ms         0.71%       3.207ms      44.542us           0 b           0 b           0 b           0 b            72            --  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_2...         0.00%       0.000us         0.00%       0.000us       0.000us       2.705ms         0.60%       2.705ms      37.569us           0 b           0 b           0 b           0 b            72            --  
fmha_cutlassF_f32_aligned_32x128_gmem_sm80(PyTorchMe...         0.00%       0.000us         0.00%       0.000us       0.000us       2.680ms         0.60%       2.680ms      37.222us           0 b           0 b           0 b           0 b            72            --  
                                             aten::silu         1.17%       5.644ms         1.75%       8.413ms      20.620us       2.445ms         0.54%       2.445ms       5.993us           0 b           0 b     770.55 Mb     770.55 Mb           408            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.445ms         0.54%       2.445ms       5.993us           0 b           0 b           0 b           0 b           408            --  
                                              aten::div         1.17%       5.644ms         1.67%       8.022ms      24.309us       2.270ms         0.50%       2.270ms       6.879us           0 b           0 b     808.88 Mb     808.88 Mb           330            --  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.270ms         0.50%       2.270ms       6.879us           0 b           0 b           0 b           0 b           330            --  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.716ms         0.38%       1.716ms      15.053us           0 b           0 b           0 b           0 b           114            --  
                                              aten::cat         0.31%       1.482ms         0.43%       2.080ms      24.762us       1.265ms         0.28%       1.265ms      15.060us           0 b           0 b     360.02 Mb     360.02 Mb            84            --  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.241ms         0.28%       1.241ms      17.236us           0 b           0 b           0 b           0 b            72            --  
void cudnn::ops::nhwcToNchwKernel<float, float, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     992.000us         0.22%     992.000us       7.515us           0 b           0 b           0 b           0 b           132            --  
void cutlass_cudnn_infer::Kernel<cutlass_tensorop_s1...         0.00%       0.000us         0.00%       0.000us       0.000us     793.000us         0.18%     793.000us     132.167us           0 b           0 b           0 b           0 b             6            --  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us     777.000us         0.17%     777.000us       0.981us           0 b           0 b           0 b           0 b           792            --  
                        ampere_sgemm_32x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us     763.000us         0.17%     763.000us      31.792us           0 b           0 b           0 b           0 b            24            --  
void at::native::(anonymous namespace)::ComputeFused...         0.00%       0.000us         0.00%       0.000us       0.000us     740.000us         0.16%     740.000us       2.022us           0 b           0 b           0 b           0 b           366            --  
void cutlass::Kernel<cutlass_80_tensorop_s1688gemm_1...         0.00%       0.000us         0.00%       0.000us       0.000us     694.000us         0.15%     694.000us      57.833us           0 b           0 b           0 b           0 b            12            --  
